--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Fri Jun 20 01:08:03 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375} 
{'username': None, 'name': 'svchost.exe', 'pid': 3812, 'vms': 4.0390625} 

{'username': None, 'name': 'UltraViewer_Service.exe', 'pid': 3824, 'vms': 22.17578125} 

{'username': None, 'name': 'MsMpEng.exe', 'pid': 3844, 'vms': 278.16796875} 

{'username': None, 'name': 'svchost.exe', 'pid': 3860, 'vms': 2.17578125} 

{'username': None, 'name': 'svchost.exe', 'pid': 3896, 'vms': 1.41015625} 

{'username': None, 'name': 'svchost.exe', 'pid': 3916, 'vms': 1.87890625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'ZVMOUNT.EXE', 'pid': 3936, 'vms': 3.09375} 

{'username': None, 'name': 'SearchFilterHost.exe', 'pid': 3940, 'vms': 1.48046875} 

{'username': None, 'name': 'WEBPROT2.EXE', 'pid': 3984, 'vms': 8.8671875} 

{'username': None, 'name': 'LANMON3.EXE', 'pid': 4012, 'vms': 3.55859375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'RuntimeBroker.exe', 'pid': 4168, 'vms': 1.42578125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 4184, 'vms': 111.6171875} 

{'username': None, 'name': 'svchost.exe', 'pid': 4240, 'vms': 1.953125} 

{'username': None, 'name': 'svchost.exe', 'pid': 4248, 'vms': 1.48828125} 

{'username': None, 'name': 'svchost.exe', 'pid': 4352, 'vms': 1.8671875} 

{'username': None, 'name': 'svchost.exe', 'pid': 4364, 'vms': 3.31640625} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'svchost.exe', 'pid': 4376, 'vms': 2.8515625} 

{'username': None, 'name': 'conhost.exe', 'pid': 4836, 'vms': 6.1796875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'igfxHK.exe', 'pid': 5012, 'vms': 5.49609375} 

{'username': None, 'name': 'NPAVIDS.EXE', 'pid': 5052, 'vms': 8.18359375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'ctfmon.exe', 'pid': 5068, 'vms': 4.33984375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'igfxTray.exe', 'pid': 5140, 'vms': 7.85546875} 

{'username': None, 'name': 'ZVCMD64.EXE', 'pid': 5312, 'vms': 0.6328125} 

{'username': None, 'name': 'conhost.exe', 'pid': 5492, 'vms': 6.1875} 

{'username': None, 'name': 'dllhost.exe', 'pid': 5544, 'vms': 3.515625} 

{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 5564, 'vms': 7.38671875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'chrome.exe', 'pid': 5648, 'vms': 71.91796875} 

{'username': None, 'name': 'svchost.exe', 'pid': 5664, 'vms': 1.58203125} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'taskhostw.exe', 'pid': 5736, 'vms': 7.14453125} 

{'username': None, 'name': 'svchost.exe', 'pid': 5988, 'vms': 1.8046875} 

{'username': None, 'name': 'SgrmBroker.exe', 'pid': 6120, 'vms': 4.4453125} 

{'username': None, 'name': 'svchost.exe', 'pid': 6180, 'vms': 3.71484375} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'AdobeCollabSync.exe', 'pid': 6236, 'vms': 10.6875} 

{'username': 'DESKTOP-8SI1S40\\Admin', 'name': 'Code.exe', 'pid': 6312, 'vms': 150.1484375} 

{'username': None, 'name': 'NP2120CL.EXE', 'pid': 6348, 'vms': 4.54296875} 

{'username': None, 'name': 'conhost.exe', 'pid': 6364, 'vms': 6.1796875} 

